TenantId,AttachmentCount,AuthenticationDetails,AdditionalFields,ConfidenceLevel,Connectors,DetectionMethods,DeliveryAction,DeliveryLocation,EmailClusterId,EmailDirection,EmailLanguage,EmailAction,EmailActionPolicy,EmailActionPolicyGuid,OrgLevelAction,OrgLevelPolicy,InternetMessageId,NetworkMessageId,RecipientEmailAddress,RecipientObjectId,ReportId,SenderDisplayName,SenderFromAddress,SenderFromDomain,SenderObjectId,SenderIPv4,SenderIPv6,SenderMailFromAddress,SenderMailFromDomain,Subject,ThreatTypes,ThreatNames,TimeGenerated,Timestamp,UrlCount,UserLevelAction,UserLevelPolicy,BulkComplaintLevel,LatestDeliveryLocation,LatestDeliveryAction,ExchangeTransportRule,DistributionList,ForwardingInformation,Context,To,Cc,ThreatClassification,RecipientDomain,EmailSize,IsFirstContact,SourceSystem,Type
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}","{""Size"":93180,""InternetHeaders"":{},""SCL"":0}",,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,2205157717,Intra-org,en,Deliver to recipient's Inbox,Default,af40ea3a-87c9-4bd2-81b9-c58f6bacfdd4,,,<MWHPR01MB5367071A3A82099A42D88DF3@MWHPR01MB5367.FRAP264.PROD.OUTLOOK.COM>,0a9235c8-f605-47fd-8d4e-190e1d82d15e,kevin.nguyen@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc05,0a9235c8-f605-47fd-8d4e-190e1d82d15e-3411979112170965778-1,Helpdesk,helpdesk@KustoIndustries.com,KustoIndustries.com,b14c2a3e-8f17-4d59-a2e1-309f7c81aa14,104.47.58.102,,helpdesk@KustoIndustries.com,KustoIndustries.com,Monthly Newsletter - Feb 10,,,2026-02-10T08:07:52.515Z,2026-02-10T08:07:52.515Z,0,,,1,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",all-staff@KustoIndustries.com,"{""ForwardingType"": ""SMTP"", ""ForwardingAddress"": ""david.kim@KustoIndustries.com""}",,"[""Kevin Nguyen <kevin.nguyen@KustoIndustries.com>""]",[],,KustoIndustries.com,61125,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}","{""Size"":118105,""InternetHeaders"":{},""SCL"":0}",,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,1856090810,Intra-org,en,Deliver to recipient's Inbox,Default,6b6d41c4-3f96-48eb-b233-5b763cd6b5c5,Allow,Default anti-spam policy,<BLUPR01MB56998EDB536F6084429C9CD4@BLUPR01MB5699.JPNP264.PROD.OUTLOOK.COM>,a25bea9a-39c9-4d76-b8ee-fdeabf3211b6,david.kim@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc04,a25bea9a-39c9-4d76-b8ee-fdeabf3211b6-6885714590269043481-1,Emily Parker,emily.parker@KustoIndustries.com,KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc03,20.190.152.24,,emily.parker@KustoIndustries.com,KustoIndustries.com,Monthly Newsletter - Feb 10,,,2026-02-10T08:11:52.515Z,2026-02-10T08:11:52.515Z,4,,,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,,"[""David Kim <david.kim@KustoIndustries.com>""]","[""Kevin Nguyen <kevin.nguyen@KustoIndustries.com>"", ""Emily Parker <emily.parker@KustoIndustries.com>""]",,KustoIndustries.com,22791,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}",,,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,8311013660,Intra-org,en,Deliver to recipient's Inbox,Default,f4dfe1c2-beb8-4cc5-8ad3-ccb49f1807b5,Allow,Default anti-spam policy,<BLUPR01MB5504A68D2FAF6871454AABD9@BLUPR01MB5504.DEUP264.PROD.OUTLOOK.COM>,7b65e556-daef-4fd0-b31d-0ba89206ddb0,emily.parker@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc03,7b65e556-daef-4fd0-b31d-0ba89206ddb0-3813390157111395623-1,IT Support,it-support@KustoIndustries.com,KustoIndustries.com,b14c2a3e-8f17-4d59-a2e1-309f7c81aa10,20.190.152.25,,it-support@KustoIndustries.com,KustoIndustries.com,Re: Your Recent Request,,,2026-02-10T08:13:09.515Z,2026-02-10T08:13:09.515Z,0,,,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,,"[""Emily Parker <emily.parker@KustoIndustries.com>""]",[],,KustoIndustries.com,45183,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}","{""Size"":107355,""InternetHeaders"":{},""SCL"":0}",,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,2007988438,Intra-org,en,Deliver to recipient's Inbox,Default,41fc4928-001e-412b-af85-04adb8683deb,,,<MW2PR01MB90106BC6A30C589E43F09F3A@MW2PR01MB9010.NAMP264.PROD.OUTLOOK.COM>,bfcde30d-bc97-4d02-a760-f2a4a24b4d4a,mike.rodriguez@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc02,bfcde30d-bc97-4d02-a760-f2a4a24b4d4a-1902316135263144425-1,IT Support,it-support@KustoIndustries.com,KustoIndustries.com,b14c2a3e-8f17-4d59-a2e1-309f7c81aa10,104.47.58.102,,it-support@KustoIndustries.com,KustoIndustries.com,Expense Report Submission Deadline,,,2026-02-10T08:18:14.515Z,2026-02-10T08:18:14.515Z,0,,,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,Manual investigation,"[""Mike Rodriguez <mike.rodriguez@KustoIndustries.com>""]",[],,KustoIndustries.com,17222,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}",,,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,7164598129,Intra-org,en,Deliver to recipient's Inbox,Default,0de1fb0f-efad-4e49-a7ff-65b2202e1ffd,Allow,Default anti-spam policy,<BN8PR01MB1864A14D0EC0A3354F15932F@BN8PR01MB1864.DEUP264.PROD.OUTLOOK.COM>,e9a88d54-f7ca-4ccc-b115-4a9e5a8d58cb,lnguyen@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc07,e9a88d54-f7ca-4ccc-b115-4a9e5a8d58cb-6338927761619899968-1,Emily Parker,emily.parker@KustoIndustries.com,KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc03,52.100.136.11,,emily.parker@KustoIndustries.com,KustoIndustries.com,Re: Your Recent Request,,,2026-02-10T08:19:08.515Z,2026-02-10T08:19:08.515Z,1,,,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,,"[""Lisa Nguyen <lnguyen@KustoIndustries.com>""]","[""Kevin Nguyen <kevin.nguyen@KustoIndustries.com>""]",,KustoIndustries.com,29059,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}",,,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,6369788392,Intra-org,en,Deliver to recipient's Inbox,Default,b0bde02c-ba62-4332-94e2-03cf6ebe9237,Allow,Default anti-spam policy,<BN8PR01MB8483DF30A4A9706B47BD80BB@BN8PR01MB8483.NAMP264.PROD.OUTLOOK.COM>,81493bc3-17fa-4325-98d2-c131851e5cca,robert.taylor@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc06,81493bc3-17fa-4325-98d2-c131851e5cca-8422194192111228202-1,IT Support,it-support@KustoIndustries.com,KustoIndustries.com,b14c2a3e-8f17-4d59-a2e1-309f7c81aa10,40.107.22.40,,it-support@KustoIndustries.com,KustoIndustries.com,Project Status Update,,,2026-02-10T08:20:29.515Z,2026-02-10T08:20:29.515Z,2,,,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,,"[""Robert Taylor <robert.taylor@KustoIndustries.com>""]",[],,KustoIndustries.com,38581,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}","{""Size"":71060,""InternetHeaders"":{},""SCL"":0}",,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,9936104325,Intra-org,en,Deliver to recipient's Inbox,Default,08311de1-7bc4-4b14-a9b5-022b7eb0e1c2,Allow,Default anti-spam policy,<BYAPR01MB1652FF45B28341294D8EAB98@BYAPR01MB1652.DEUP264.PROD.OUTLOOK.COM>,1994a838-5bdc-47c7-b089-416f92f6c81e,mike.rodriguez@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc02,1994a838-5bdc-47c7-b089-416f92f6c81e-6486816958567990906-1,David Kim,david.kim@KustoIndustries.com,KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc04,104.47.58.101,,david.kim@KustoIndustries.com,KustoIndustries.com,Q4 Budget Review - Draft,,,2026-02-10T08:24:58.515Z,2026-02-10T08:24:58.515Z,16,Move to Inbox folder,Safe sender,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,,"[""Mike Rodriguez <mike.rodriguez@KustoIndustries.com>""]",[],,KustoIndustries.com,31198,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}","{""Size"":115979,""InternetHeaders"":{},""SCL"":0}",,KustoIndustries.com Intra-org connector,,Delivered,Inbox/folder,8198663092,Intra-org,en,Deliver to recipient's Inbox,Default,d4d22531-31d6-4714-bbb0-1d93ff2dbaec,,,<BYAPR01MB8746940F1250CD4E458C9890@BYAPR01MB8746.JPNP264.PROD.OUTLOOK.COM>,32e5e1dc-c027-4ff4-ac20-9e8d84229872,sarah.chen@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc01,32e5e1dc-c027-4ff4-ac20-9e8d84229872-6868874536892626039-1,David Kim,david.kim@KustoIndustries.com,KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc04,52.100.136.10,,david.kim@KustoIndustries.com,KustoIndustries.com,New Policy Update: Remote Work Guidelines,,,2026-02-10T08:26:52.515Z,2026-02-10T08:26:52.515Z,1,,,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,,"[""Sarah Chen <sarah.chen@KustoIndustries.com>""]",[],,KustoIndustries.com,146975,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}",,,,,Delivered,Inbox/folder,5164352790,Intra-org,en,Deliver to recipient's Inbox,Default,7f9bf0de-b9b3-41b5-b220-e5ca9e768604,Allow,Default anti-spam policy,<CY4PR01MB6128464702C94624481D9AD2@CY4PR01MB6128.JPNP264.PROD.OUTLOOK.COM>,12b87c08-e5fa-4078-a64c-7cffb49ec727,robert.taylor@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc06,12b87c08-e5fa-4078-a64c-7cffb49ec727-7813553727464675950-1,HR Department,hr@KustoIndustries.com,KustoIndustries.com,b14c2a3e-8f17-4d59-a2e1-309f7c81aa11,20.190.152.25,,hr@KustoIndustries.com,KustoIndustries.com,Document Shared: Compliance Report,,,2026-02-10T08:33:16.515Z,2026-02-10T08:33:16.515Z,0,Move to the deleted items folder,Safe sender,0,Inbox/folder,Delivered,"{""fabd8050-1dcd-4cc1-b3c5-3fafab212cfa"": ""Disclaimer""}",,,Trigger,"[""Robert Taylor <robert.taylor@KustoIndustries.com>""]",[],,KustoIndustries.com,46244,false,Advanced Hunting,EmailEvents
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0,"{""DKIM"": ""none"", ""DMARC"": ""none""}","{""Size"":58476,""InternetHeaders"":{},""SCL"":5}",,,,Blocked,Failed,1350638061,Unknown,en,Block message,Anti-spam policy,a366df08-0ae9-4e87-a8e5-3ae7c597746d,Block,Anti-spam policy,<SN6PR01MB863999584FE5CADB4A688936@SN6PR01MB8639.JPNP264.PROD.OUTLOOK.COM>,0e9b95db-3d8a-46a6-b99e-c7875236e5cf,emily.parker@KustoIndustries.com,664c7377-5dd4-406e-bece-6109627bbc03,0e9b95db-3d8a-46a6-b99e-c7875236e5cf-8067963520977082363-1,mail-relay,noreply@mail-relay.example.net,mail-relay.example.net,,20.245.195.80,,noreply@mail-relay.example.net,mail-relay.example.net,Q4 Budget Review - Draft,,,2026-02-10T08:35:12.515Z,2026-02-10T08:35:12.515Z,0,,,3,Failed,Blocked,,,,,"[""Emily Parker <emily.parker@KustoIndustries.com>""]",[],,KustoIndustries.com,59594,false,Advanced Hunting,EmailEvents
